RK,Name,First Name,Last name,REC,YDS,AVG,LNG,TD
284,Isaac Rex,Isaac,Rex,34,422,12.4,65,3
284,Mitchell Evans,Mitchell,Evans,29,422,14.6,36,1
284,Grayson Barnes,Grayson,Barnes,23,422,18.3,58,5
288,George Johnson,George,Johnson,35,421,12,32,3
289,Mark Pope,Mark,Pope,33,420,12.7,54,1
290,Germie Bernard,Germie,Bernard,34,419,12.3,36,2
291,A.J. Henning,A.J.,Henning,45,418,9.3,41,4
291,Makai Jackson,Makai,Jackson,27,418,15.5,67,2
293,Jermaine Brown,Jermaine,Brown,41,416,10.1,55,1
293,Coy Eakin,Coy,Eakin,36,416,11.6,43,2
295,Trey Cleveland,Trey,Cleveland,27,415,15.4,33,3
296,Joseph Scates,Joseph,Scates,33,414,12.5,54,6
296,Terrance Ferguson,Terrance,Ferguson,42,414,9.9,33,6
298,Luke Floriea,Luke,Floriea,39,413,10.6,43,4
298,Bucky Irving,Bucky,Irving,56,413,7.4,42,2
300,Tony Johnson,Tony,Johnson,37,411,11.1,72,4
301,Myles Price,Myles,Price,43,410,9.5,33,5
301,Jayden Harrison,Jayden,Harrison,28,410,14.6,52,1
303,Chris Parker,Chris,Parker,23,409,17.8,62,3
303,Tiger Bachmeier,Tiger,Bachmeier,36,409,11.4,41,2
305,Mark Redman,Mark,Redman,38,408,10.7,29,3
305,Jack Endries,Jack,Endries,35,408,11.7,32,2
307,Chris Bell,Chris,Bell,29,407,14,48,2
308,Matthew Golden,Matthew,Golden,38,404,10.6,39,6
309,Dean Connors,Dean,Connors,43,403,9.4,80,3
310,Carl Chester,Carl,Chester,22,401,18.2,57,1
311,Dariyan Wiley,Dariyan,Wiley,24,400,16.7,68,2
311,Trell Harris,Trell,Harris,26,400,15.4,43,1
313,Taj Davis,Taj,Davis,39,399,10.2,27,3
313,Devan Williams,Devan,Williams,29,399,13.8,42,2
315,JB Mitchell,JB,Mitchell,35,398,11.4,50,1
316,Jaylon Robinson,Jaylon,Robinson,32,397,12.4,29,1
317,DeMarcus Harris,DeMarcus,Harris,24,396,16.5,65,1
318,DeQuece Carter,DeQuece,Carter,27,395,14.6,90,3
319,Rivaldo Fairweather,Rivaldo,Fairweather,38,394,10.4,53,6
320,Key'Shawn Smith,Key'Shawn,Smith,25,392,15.7,43,3
320,Rico Flores,Rico,Flores,27,392,14.5,60,1
322,Javon Harvey,Javon,Harvey,29,391,13.5,68,4
322,Yulkeith Brown,Yulkeith,Brown,33,391,11.8,42,2
324,Dalton Stroman,Dalton,Stroman,20,390,19.5,77,3
325,Leroy Thomas,Leroy,Thomas,35,389,11.1,41,2
326,Blair Conwright,Blair,Conwright,24,385,16,43,2
326,Robert Williams,Robert,Williams,31,385,12.4,60,4
328,Ke'Shawn Williams,Ke'Shawn,Williams,38,384,10.1,34,1
329,Billy Bowens,Billy,Bowens,28,383,13.7,52,1
329,Neal Johnson,Neal,Johnson,30,383,12.8,40,5
329,Rara Thomas,Rara,Thomas,23,383,16.7,56,1
329,Jayden McGowan,Jayden,McGowan,36,383,10.6,50,0
329,Marquis Johnson,Marquis,Johnson,13,383,29.5,76,3
329,Boden Groen,Boden,Groen,39,383,9.8,31,3
335,Jaden Bray,Jaden,Bray,30,382,12.7,45,2
335,Eli Heidenreich,Eli,Heidenreich,19,382,20.1,69,4
337,Dashaun Davis,Dashaun,Davis,29,381,13.1,57,3
337,TJ Sheffield,TJ,Sheffield,32,381,11.9,43,2
339,Landon Ransom-Goelz,Landon,Ransom-Goelz,26,380,14.6,44,3
340,Rawson MacNeill,Rawson,MacNeill,26,379,14.6,38,2
341,Tre Watson,Tre,Watson,38,378,9.9,28,4
341,Jjay Mcafee,Jjay,Mcafee,37,378,10.2,32,4
343,Corey Crooms,Corey,Crooms,28,376,13.4,32,0
344,Mekhi Shaw,Mekhi,Shaw,28,375,13.4,69,2
344,Jayden Gibson,Jayden,Gibson,14,375,26.8,59,5
346,Jared Roznos,Jared,Roznos,12,374,31.2,84,3
347,Spencer Curtis,Spencer,Curtis,30,373,12.4,73,1
348,Ayir Asante,Ayir,Asante,21,372,17.7,66,6
349,Roderick Daniels,Roderick,Daniels,24,370,15.4,91,4
350,Lorenzo Lingard,Lorenzo,Lingard,38,368,9.7,77,2
350,Preston Fox,Preston,Fox,26,368,14.2,34,2
352,Eli Stowers,Eli,Stowers,35,366,10.5,32,2
352,Dae'Quan Wright,Dae'Quan,Wright,28,366,13.1,39,0
354,Darius Lassiter,Darius,Lassiter,29,365,12.6,47,4
355,Kyle Maxwell,Kyle,Maxwell,20,363,18.1,47,2
355,Landon Sides,Landon,Sides,30,363,12.1,39,4
357,Kevin Coleman,Kevin,Coleman,26,362,13.9,58,2
357,Jalin Conyers,Jalin,Conyers,30,362,12.1,50,0
357,Colin Weber,Colin,Weber,34,362,10.6,45,0
360,JaQuae Jackson,JaQuae,Jackson,22,361,16.4,61,1
361,Hamze El-Zayat,Hamze,El-Zayat,27,360,13.3,50,2
361,John Michael,John,Michael,23,360,15.7,89,3
363,Noah Thomas,Noah,Thomas,29,359,12.4,34,5
364,Qian Magwood,Qian,Magwood,41,358,8.7,32,1
365,Cade McDonald,Cade,McDonald,28,355,12.7,42,3
365,Dillon Bell,Dillon,Bell,29,355,12.2,35,2
367,Ahmad Edwards,Ahmad,Edwards,31,354,11.4,57,1
368,Maliq Carr,Maliq,Carr,30,352,11.7,36,3
368,Koby Drake,Koby,Drake,33,352,10.7,24,2
368,Benjamin Brahmer,Benjamin,Brahmer,28,352,12.6,48,2
371,Duce Robinson,Duce,Robinson,16,351,21.9,71,2
371,Isaac TeSlaa,Isaac,TeSlaa,34,351,10.3,36,2
373,Michael Brown-Stephens,Michael,Brown-Stephens,27,350,13,38,2
373,Eli Wilson,Eli,Wilson,34,350,10.3,32,5
375,Tyler Walton,Tyler,Walton,37,349,9.4,27,2
375,Roman Hemby,Roman,Hemby,38,349,9.2,61,3
375,Jack Hestera,Jack,Hestera,28,349,12.5,37,3
